address,postcode,city,price,type,rooms,size_1,size_2
"Vandflodvej 25, 6857 Blåvand",6857,Blåvand,3395000,Fritidsbolig,5,178,
"Drejet 36D, Spodsbj Drej, 5900 Rudkøbing",5900,Rudkøbing,1845000,Fritidsbolig,4,83,
"Marielyst Strandpark 46, 4873 Væggerløse",4873,Væggerløse,1995000,Fritidsbolig,5,115,
"Dillet 7, 4874 Gedser",4874,Gedser,1775000,Fritidsbolig,4,85,
"Hjelmvej 13, Elsegårde Strand",Elsegårde,Strand,1298000,Fritidsbolig,3,40,
"Baroniet 22, 3100 Hornbæk",3100,Hornbæk,4195000,Fritidsbolig,4,99,
"Slunden 56, Rindby Strand, 6720 Fanø",6720,Fanø,2495000,Fritidsbolig,5,92,
"Lerager 12, 3250 Gilleleje",3250,Gilleleje,3595000,Fritidsbolig,3,66,
"Strandvangsvej 5, Klint Str V, 4500 Nykøbing Sj",4500,Nykøbing Sj,1895000,Fritidsbolig,4,133,
"Birkevangsvej 18, 3100 Hornbæk",3100,Hornbæk,6995000,Fritidsbolig,3,88,
"Egernvej 12, Lodskovvad, 9982 Ålbæk",9982,Ålbæk,1095000,Fritidsbolig,3,76,
"Kybehuse 81, Vile, 7870 Roslev",7870,Roslev,735000,Fritidsbolig,4,58,
"Storhøjs Alle 7, Strand Esbønderup, 3250 Gilleleje",3250,Gilleleje,2795000,Fritidsbolig,3,98,
"Sigfred Jensens Vej 37, Bjerregaard, 6960 Hvide Sande",6960,Hvide Sande,1525000,Fritidsbolig,4,79,
"Skovsøvej 11, Sæbygård Feriecenter, 7870 Roslev",7870,Roslev,545000,Fritidsbolig,4,78,
"Drosselvej 1, 2670 Greve",2670,Greve,4245000,Fritidsbolig,2,61,
"Søndervang 80, Lønne, 6830 Nørre Nebel",6830,Nørre Nebel,1495000,Fritidsbolig,4,71,
"Strandvejen 61C, st. 113., Fanø Bad",Fanø,Bad,1245000,Fritidsbolig,2,44,
"Sandvej 4C, Fjellerup Strand, 8585 Glesborg",8585,Glesborg,2498000,Fritidsbolig,4,106,
"Arnakkevej 20, 4593 Eskebjerg",4593,Eskebjerg,1295000,Villa,6,163,
"Bøffelvej 2, Bunken, 9982 Ålbæk",9982,Ålbæk,1045000,Fritidsbolig,4,70,
"Hyldebærvej 47, Knasborg, 9982 Ålbæk",9982,Ålbæk,3295000,Fritidsbolig,6,211,
"Svanningevej 11, 5600 Faaborg",5600,Faaborg,695000,Villa,3,102,
"Nonboevej 5A, Fanø Bad, 6720 Fanø",6720,Fanø,2300000,Fritidsbolig,5,100,
"Strandvejen 52, 1. 114, Fanø Bad, 6720 Fanø",6720,Fanø,885000,Fritidsbolig,2,68,
"Vænget 4, 7130 Juelsminde",7130,Juelsminde,7875000,Fritidsbolig,6,151,
